Score,P1 Odds,P2 Odds
-,1.47,2.70
-,1.44,2.82
Score,P1 Odds,P2 Odds
-,1.44,2.82
Score,P1 Odds,P2 Odds
-,1.44,2.82
Score,P1 Odds,P2 Odds
-,1.44,2.82
