Score,P1 Odds,P2 Odds
-,1.14,5.75
-,1.13,6.05
Score,P1 Odds,P2 Odds
-,1.13,6.05
Score,P1 Odds,P2 Odds
-,1.13,6.05
Score,P1 Odds,P2 Odds
-,1.13,6.05
